ville,quartier,type_bien,surface_m2,nb_pieces,nb_chambres,meuble,equipements,prix_loyer_mensuel
Mbour,Mbour centre,Appartement,156.5,5,3,False,parking|gardiennage,550000
Thiès,Grand Standing,Appartement,128.9,4,3,True,parking|gardiennage|piscine,540000
Dakar,Parcelles Assainies,Maison,127.1,5,4,False,piscine,730000
Saly,Niakh Niakhal,Villa,81.1,4,2,False,climatisation,640000
Mbour,Mbour centre,Appartement,42.2,3,1,True,climatisation,230000
Saly,Saly Portudal,Maison,96.8,4,3,False,parking,525000
Dakar,Parcelles Assainies,Appartement,115.6,5,4,False,gardiennage|piscine,560000
Mbour,Zone résidentielle,Appartement,116.1,4,2,True,piscine|groupe_electrogene,580000
Saint-Louis,Île,Appartement,108.4,3,2,True,gardiennage|piscine,550000
Dakar,Mermoz,Appartement,106.1,4,3,False,climatisation,660000
Saint-Louis,Sor,Villa,60.7,2,1,True,gardiennage,420000
Saint-Louis,Hydrobase,Appartement,62.3,1,0,False,gardiennage,215000
Dakar,Almadies,Studio,45.8,1,0,False,groupe_electrogene,305000
Thiès,Grand Standing,Maison,146.6,5,4,False,climatisation|parking,555000
Mbour,Zone résidentielle,Appartement,213.3,7,6,False,piscine,800000
Dakar,Almadies,Appartement,313.8,12,11,False,gardiennage,2105000
Thiès,Grand Standing,Studio,100.3,4,2,False,climatisation|piscine,410000
Thiès,Randoulène,Appartement,106.2,5,4,False,gardiennage,325000
Dakar,Parcelles Assainies,Villa,82.9,3,2,True,parking,735000
Saly,Niakh Niakhal,Appartement,99.5,4,3,False,climatisation|parking,365000
Mbour,Zone résidentielle,Maison,52.5,1,0,False,,220000
Dakar,Parcelles Assainies,Studio,82.0,3,1,False,gardiennage|piscine,430000
Saly,Saly centre,Appartement,56.9,2,0,False,parking|gardiennage,265000
Saly,Niakh Niakhal,Appartement,76.4,2,1,True,climatisation|piscine|groupe_electrogene,425000
Dakar,Mermoz,Villa,59.7,2,1,False,piscine,750000
Mbour,Grand Mbour,Appartement,115.6,4,3,True,piscine,515000
Dakar,Parcelles Assainies,Appartement,122.9,5,4,False,gardiennage,565000
Saly,Saly Portudal,Appartement,104.6,4,2,False,groupe_electrogene,530000
Saint-Louis,Hydrobase,Appartement,62.5,2,0,False,,190000
Saint-Louis,Île,Studio,43.9,2,1,False,climatisation|gardiennage,200000
Dakar,Plateau,Studio,123.6,4,2,True,,945000
Saly,Saly Portudal,Appartement,89.8,1,0,False,gardiennage,395000
Dakar,Plateau,Studio,29.3,1,0,False,,235000
Dakar,Plateau,Appartement,96.4,4,2,False,gardiennage,705000
Dakar,Yoff,Appartement,106.6,2,1,False,groupe_electrogene,570000
Mbour,Grand Mbour,Maison,35.5,1,0,True,climatisation,150000
Dakar,Parcelles Assainies,Villa,116.6,5,4,False,parking,935000
Saly,Saly Portudal,Appartement,38.9,1,0,False,climatisation,220000
Saint-Louis,Hydrobase,Appartement,58.8,2,0,False,parking,195000
Dakar,Almadies,Maison,39.1,1,0,False,,340000
Dakar,Parcelles Assainies,Studio,55.4,3,1,False,parking|gardiennage,275000
Dakar,Plateau,Appartement,44.1,2,1,False,groupe_electrogene,415000
Saint-Louis,Île,Appartement,146.2,5,4,True,,595000
Mbour,Mbour centre,Studio,78.8,4,3,False,,230000
Dakar,Plateau,Appartement,70.1,3,1,False,gardiennage,520000
Mbour,Mbour centre,Appartement,153.0,5,3,True,piscine,535000
Dakar,Mermoz,Appartement,149.1,5,4,True,climatisation|piscine|groupe_electrogene,1365000
Mbour,Mbour centre,Appartement,73.2,3,1,False,climatisation,285000
Saly,Saly Portudal,Appartement,103.6,3,1,True,parking,575000
Mbour,Grand Mbour,Studio,65.1,1,0,False,,150000
Saint-Louis,Île,Maison,85.2,3,2,True,gardiennage|piscine,475000
Mbour,Mbour centre,Maison,48.8,1,0,False,,175000
Dakar,Mermoz,Villa,111.2,5,4,True,parking,1470000
Dakar,Almadies,Appartement,156.0,6,5,False,groupe_electrogene,1245000
Dakar,Yoff,Appartement,142.5,4,3,False,gardiennage|groupe_electrogene,835000
Thiès,Grand Standing,Villa,92.0,3,1,False,climatisation|parking,575000
Mbour,Zone résidentielle,Appartement,27.5,1,0,True,gardiennage,175000
Saint-Louis,Hydrobase,Studio,63.5,1,0,False,,160000
Mbour,Mbour centre,Studio,85.1,4,2,False,climatisation,240000
Dakar,Yoff,Appartement,40.8,3,1,False,parking,325000
Mbour,Mbour centre,Appartement,36.7,2,0,False,,150000
Dakar,Yoff,Appartement,177.2,6,4,False,parking,895000
Dakar,Plateau,Appartement,134.3,4,2,False,gardiennage,975000
Mbour,Grand Mbour,Appartement,115.5,3,1,False,climatisation,320000
Saly,Niakh Niakhal,Appartement,126.7,6,4,False,,445000
Saint-Louis,Sor,Studio,45.0,1,0,True,climatisation|parking|gardiennage,180000
Dakar,Parcelles Assainies,Villa,54.3,4,3,False,climatisation|gardiennage,455000
Saint-Louis,Hydrobase,Studio,100.4,5,3,False,climatisation|piscine,405000
Dakar,Almadies,Appartement,104.4,2,1,True,parking,875000
Saly,Saly Portudal,Appartement,39.4,1,0,False,parking|gardiennage,260000
Mbour,Mbour centre,Appartement,96.8,3,1,False,parking|gardiennage,335000
Dakar,Mermoz,Appartement,86.0,3,1,False,,580000
Dakar,Almadies,Villa,140.3,5,3,False,gardiennage,1525000
Dakar,Mermoz,Appartement,104.7,6,5,False,,825000
Saly,Non renseigne,Appartement,187.3,6,5,False,parking,770000
Thiès,Médina Fall,Studio,73.4,3,1,False,,195000
Mbour,Mbour centre,Appartement,46.7,2,0,False,groupe_electrogene,205000
Saint-Louis,Hydrobase,Appartement,184.8,7,6,False,parking|gardiennage,665000
Saint-Louis,Hydrobase,Appartement,107.4,4,2,False,groupe_electrogene,390000
Dakar,Almadies,Maison,86.2,2,1,True,gardiennage,925000
Saly,Saly centre,Studio,55.5,2,0,False,climatisation|groupe_electrogene,230000
Dakar,Parcelles Assainies,Appartement,73.8,3,1,False,,330000
Saint-Louis,Île,Villa,71.8,3,1,False,climatisation|parking|gardiennage,425000
Saint-Louis,Hydrobase,Studio,45.6,2,1,True,parking|piscine,305000
Saint-Louis,Île,Studio,22.3,2,1,True,,155000
Saly,Niakh Niakhal,Appartement,70.9,3,1,False,gardiennage,340000
Dakar,Plateau,Appartement,128.3,5,3,True,parking,915000
Thiès,Randoulène,Studio,162.6,5,4,False,,485000
Thiès,Médina Fall,Appartement,143.0,5,4,False,,325000
Thiès,Randoulène,Maison,147.1,5,3,False,groupe_electrogene,455000
Dakar,Parcelles Assainies,Studio,48.7,2,1,True,,255000
Dakar,Parcelles Assainies,Appartement,101.4,3,1,False,gardiennage|piscine,490000
Dakar,Yoff,Studio,116.0,3,2,False,climatisation,640000
Dakar,Plateau,Villa,119.7,3,2,False,,1340000
Thiès,Médina Fall,Studio,85.2,2,1,False,groupe_electrogene,205000
Saint-Louis,Île,Appartement,95.1,3,1,False,parking|gardiennage,350000
Saint-Louis,Sor,Studio,220.8,7,5,False,gardiennage,460000
Thiès,Randoulène,Maison,140.9,4,3,False,groupe_electrogene,435000
Thiès,Grand Standing,Studio,113.9,4,3,False,parking,375000
Dakar,Parcelles Assainies,Studio,124.5,3,1,False,,460000
Saint-Louis,Hydrobase,Studio,69.1,3,2,False,parking,225000
Dakar,Plateau,Appartement,121.2,5,3,False,piscine,980000
Dakar,Almadies,Appartement,94.5,3,1,False,,740000
Thiès,Médina Fall,Appartement,133.9,4,3,False,,355000
Thiès,Grand Standing,Maison,60.7,3,2,False,,230000
Dakar,Yoff,Maison,128.6,4,2,True,parking,860000
Saint-Louis,Hydrobase,Maison,74.4,2,1,True,climatisation|piscine,385000
Saint-Louis,Hydrobase,Appartement,128.9,6,4,False,climatisation|gardiennage,450000
Mbour,Zone résidentielle,Studio,101.7,4,3,False,gardiennage,335000
Saint-Louis,Sor,Villa,91.0,4,2,False,parking|piscine,525000
Saint-Louis,Hydrobase,Appartement,76.5,3,2,False,climatisation,260000
Dakar,Yoff,Studio,86.4,2,0,False,piscine,485000
Mbour,Non renseigne,Maison,71.0,4,2,False,climatisation|gardiennage,290000
Thiès,Médina Fall,Maison,75.7,3,2,False,piscine,310000
Thiès,Médina Fall,Appartement,112.4,5,3,True,piscine,415000
Saint-Louis,Sor,Studio,32.4,1,0,False,parking,110000
Dakar,Almadies,Villa,128.0,5,3,True,parking,1885000
Thiès,Randoulène,Studio,129.1,4,3,False,climatisation|groupe_electrogene,310000
Mbour,Grand Mbour,Villa,77.7,3,2,False,groupe_electrogene,450000
Saly,Niakh Niakhal,Villa,96.4,3,2,False,gardiennage|piscine,575000
Saly,Niakh Niakhal,Appartement,52.2,3,1,False,climatisation|gardiennage|piscine|groupe_electrogene,320000
Thiès,Grand Standing,Maison,108.8,3,1,False,climatisation|parking|groupe_electrogene,425000
Thiès,Médina Fall,Appartement,55.9,2,1,True,,190000
Mbour,Zone résidentielle,Villa,18.0,2,1,True,piscine,375000
Dakar,Parcelles Assainies,Appartement,159.5,5,3,False,,735000
Mbour,Mbour centre,Appartement,49.0,2,0,False,climatisation|parking|groupe_electrogene,225000
Thiès,Grand Standing,Studio,85.5,2,1,False,parking|groupe_electrogene,275000
Dakar,Parcelles Assainies,Appartement,98.3,4,3,True,piscine|groupe_electrogene,645000
Dakar,Mermoz,Studio,112.3,3,1,False,parking|piscine|groupe_electrogene,820000
Mbour,Zone résidentielle,Appartement,89.4,3,1,False,piscine,385000
Dakar,Yoff,Villa,102.7,4,2,False,climatisation|parking|gardiennage,1000000
Dakar,Mermoz,Villa,76.8,2,0,True,piscine,1205000
Dakar,Mermoz,Appartement,36.1,2,1,False,groupe_electrogene,265000
Dakar,Non renseigne,Studio,87.6,4,3,True,climatisation,685000
Dakar,Yoff,Appartement,120.0,5,4,False,climatisation|gardiennage,675000
Mbour,Mbour centre,Maison,50.7,2,1,True,parking,235000
Dakar,Almadies,Maison,98.8,6,5,False,parking|piscine|groupe_electrogene,1155000
Mbour,Mbour centre,Studio,205.6,8,7,False,,600000
Mbour,Mbour centre,Appartement,84.7,3,2,False,climatisation|piscine|groupe_electrogene,380000
Dakar,Almadies,Appartement,86.9,2,0,False,gardiennage|piscine,735000
Dakar,Plateau,Maison,34.3,1,0,False,gardiennage,310000
Saint-Louis,Île,Maison,47.3,3,1,False,,245000
Dakar,Mermoz,Maison,56.3,3,2,False,parking,540000
Dakar,Parcelles Assainies,Appartement,117.6,5,4,True,,665000
Saly,Niakh Niakhal,Appartement,52.7,3,1,False,groupe_electrogene,265000
Saly,Niakh Niakhal,Studio,27.2,1,0,False,piscine|groupe_electrogene,205000
Mbour,Zone résidentielle,Appartement,107.6,4,2,False,climatisation,405000
Dakar,Mermoz,Appartement,59.1,1,0,False,parking|groupe_electrogene,405000
Saint-Louis,Hydrobase,Villa,35.1,1,0,False,groupe_electrogene,230000
Mbour,Mbour centre,Appartement,124.8,5,4,True,piscine,570000
Dakar,Almadies,Studio,72.2,3,1,False,climatisation|groupe_electrogene,535000
Saint-Louis,Île,Appartement,112.7,5,4,False,parking|piscine|groupe_electrogene,455000
Dakar,Yoff,Studio,34.4,2,1,False,gardiennage|piscine,330000
Dakar,Almadies,Studio,20.8,1,0,False,groupe_electrogene,240000
Thiès,Randoulène,Villa,94.1,3,1,True,parking|piscine,580000
Dakar,Yoff,Appartement,46.3,2,0,True,climatisation,380000
Dakar,Plateau,Maison,93.4,2,0,False,groupe_electrogene,655000
Mbour,Zone résidentielle,Studio,94.4,2,0,False,climatisation,295000
Saly,Niakh Niakhal,Appartement,88.4,4,2,False,piscine,410000
Thiès,Médina Fall,Appartement,146.5,5,3,False,parking|gardiennage,360000
Mbour,Grand Mbour,Appartement,291.1,11,10,False,parking|gardiennage|piscine,860000
Saly,Saly centre,Villa,106.7,5,3,False,,670000
Dakar,Parcelles Assainies,Maison,205.5,7,6,True,climatisation|gardiennage|piscine,1095000
Thiès,Médina Fall,Maison,32.9,2,1,False,climatisation|parking|piscine|groupe_electrogene,245000
Dakar,Almadies,Studio,73.2,2,1,False,piscine,630000
Dakar,Parcelles Assainies,Maison,41.3,1,0,False,piscine,280000
Mbour,Grand Mbour,Appartement,61.3,2,0,True,,175000
Thiès,Médina Fall,Appartement,75.6,2,0,True,climatisation|gardiennage|piscine|groupe_electrogene,315000
Thiès,Médina Fall,Maison,214.1,7,5,True,,710000
Dakar,Almadies,Appartement,91.0,5,3,False,,655000
Dakar,Parcelles Assainies,Villa,149.2,4,3,True,climatisation|parking|gardiennage|piscine,1315000
Saly,Saly Portudal,Studio,70.0,3,1,False,piscine,390000
Dakar,Yoff,Appartement,65.5,2,0,True,gardiennage|groupe_electrogene,515000
Dakar,Plateau,Maison,33.5,2,1,True,climatisation|parking|groupe_electrogene,385000
Dakar,Mermoz,Appartement,210.7,8,6,False,,1345000
Thiès,Randoulène,Villa,173.7,7,5,True,gardiennage,895000
Saint-Louis,Île,Villa,99.3,3,1,False,parking,585000
Thiès,Médina Fall,Villa,77.9,2,0,False,climatisation|piscine,390000
Dakar,Plateau,Appartement,92.8,4,2,True,parking,805000
Dakar,Parcelles Assainies,Appartement,40.3,3,1,True,climatisation|gardiennage,290000
Mbour,Grand Mbour,Appartement,112.6,4,3,False,gardiennage,395000
Saint-Louis,Hydrobase,Appartement,166.6,5,3,False,,465000
Saint-Louis,Île,Appartement,170.8,6,5,False,parking|groupe_electrogene,530000
Saint-Louis,Hydrobase,Appartement,34.4,3,2,False,,165000
Mbour,Grand Mbour,Villa,148.6,5,3,False,,665000
Dakar,Almadies,Appartement,40.5,3,2,False,groupe_electrogene,380000
Dakar,Parcelles Assainies,Appartement,21.8,1,0,False,,140000
Thiès,Grand Standing,Studio,151.3,5,4,False,piscine|groupe_electrogene,490000
Dakar,Yoff,Maison,67.0,3,2,False,climatisation,475000
Mbour,Grand Mbour,Studio,140.8,5,4,False,gardiennage|groupe_electrogene,390000
Thiès,Médina Fall,Maison,134.6,4,3,False,climatisation|parking|groupe_electrogene,395000
Mbour,Mbour centre,Villa,126.2,4,2,False,climatisation|gardiennage,625000
Mbour,Mbour centre,Maison,92.2,4,3,False,climatisation|gardiennage,335000
Thiès,Randoulène,Maison,43.2,2,0,False,piscine,210000
Saly,Saly centre,Maison,75.7,4,2,True,gardiennage|piscine,520000
Saint-Louis,Hydrobase,Appartement,172.2,8,7,False,,595000
Mbour,Zone résidentielle,Appartement,142.6,5,3,False,gardiennage,480000
Dakar,Plateau,Appartement,77.8,3,2,False,,630000
Thiès,Grand Standing,Appartement,77.3,4,3,False,gardiennage,300000
Thiès,Randoulène,Studio,120.6,5,3,False,,330000
Dakar,Mermoz,Appartement,95.6,3,1,False,,620000
Dakar,Plateau,Appartement,79.9,2,0,False,climatisation,590000
Saly,Niakh Niakhal,Appartement,115.5,5,4,True,groupe_electrogene,540000
Saint-Louis,Sor,Studio,113.6,4,3,False,gardiennage|groupe_electrogene,305000
Dakar,Almadies,Appartement,62.3,2,0,False,,505000
Dakar,Mermoz,Maison,105.4,5,3,False,parking|piscine,865000
Dakar,Plateau,Studio,110.2,5,3,True,piscine|groupe_electrogene,870000
Dakar,Almadies,Appartement,88.6,4,3,False,,835000
Saly,Saly Portudal,Studio,58.6,1,0,False,piscine|groupe_electrogene,405000
Thiès,Grand Standing,Appartement,74.4,3,2,False,gardiennage,260000
Dakar,Plateau,Appartement,52.1,2,1,True,,445000
Saint-Louis,Île,Maison,106.9,3,2,False,,400000
Dakar,Parcelles Assainies,Villa,34.5,1,0,True,climatisation|groupe_electrogene,360000
Dakar,Mermoz,Appartement,181.0,6,4,False,,1165000
Mbour,Zone résidentielle,Maison,162.8,6,5,False,gardiennage|piscine,765000
Saint-Louis,Sor,Appartement,111.5,5,3,False,gardiennage|piscine,375000
Saly,Saly centre,Maison,138.5,7,6,False,parking|gardiennage|piscine,775000
Saint-Louis,Sor,Maison,133.9,4,2,False,parking,375000
Thiès,Randoulène,Maison,96.4,4,3,False,piscine,385000
Mbour,Zone résidentielle,Maison,81.1,3,2,True,parking,460000
Saly,Niakh Niakhal,Appartement,76.3,3,2,True,,375000
Mbour,Zone résidentielle,Maison,184.3,7,5,False,piscine,865000
Saly,Niakh Niakhal,Maison,57.5,2,1,False,,265000
Mbour,Grand Mbour,Maison,58.1,3,1,False,climatisation,220000
Saly,Saly Portudal,Appartement,144.6,6,4,False,gardiennage|groupe_electrogene,750000
Dakar,Yoff,Appartement,137.8,4,3,False,climatisation,760000
Mbour,Mbour centre,Appartement,78.6,3,1,False,parking,285000
Thiès,Médina Fall,Appartement,117.5,5,4,False,groupe_electrogene,315000
Thiès,Médina Fall,Appartement,125.3,5,4,True,piscine,475000
Saint-Louis,Île,Appartement,42.0,2,1,True,,225000
Saly,Niakh Niakhal,Studio,168.0,6,4,True,groupe_electrogene,600000
Saly,Niakh Niakhal,Appartement,125.3,5,3,False,climatisation|piscine,525000
Dakar,Parcelles Assainies,Studio,112.5,4,3,False,climatisation|parking,520000
Mbour,Mbour centre,Maison,125.7,3,2,False,groupe_electrogene,435000
Mbour,Zone résidentielle,Studio,105.8,4,2,True,parking|groupe_electrogene,455000
Dakar,Almadies,Appartement,85.9,3,2,False,piscine,690000
Dakar,Mermoz,Maison,26.4,1,0,True,,260000
Dakar,Mermoz,Maison,96.8,5,3,False,,770000
Mbour,Grand Mbour,Villa,39.7,2,1,True,,280000
Thiès,Médina Fall,Maison,220.2,8,6,False,parking,615000
Saly,Saly Portudal,Maison,85.2,3,2,True,gardiennage,590000
Thiès,Médina Fall,Maison,218.3,8,6,False,,555000
Saly,Saly centre,Studio,97.7,4,3,False,parking|piscine,435000
Thiès,Grand Standing,Appartement,65.2,2,0,False,piscine,290000
Mbour,Mbour centre,Maison,165.6,6,4,True,parking|piscine,755000
Dakar,Yoff,Maison,110.2,5,4,False,piscine,740000
Thiès,Médina Fall,Villa,259.5,8,7,False,gardiennage,1120000
Mbour,Grand Mbour,Maison,64.3,2,0,False,parking,220000
Saly,Saly Portudal,Appartement,169.0,6,4,False,parking|gardiennage|groupe_electrogene,800000
Mbour,Zone résidentielle,Villa,173.5,6,5,False,,1130000
Dakar,Almadies,Appartement,130.5,4,3,False,parking,1000000
Dakar,Almadies,Appartement,174.2,6,5,False,parking|piscine,1120000
Dakar,Mermoz,Appartement,86.2,5,3,False,piscine,655000
Dakar,Parcelles Assainies,Appartement,57.3,2,0,True,parking,395000
Saint-Louis,Hydrobase,Appartement,68.4,3,2,False,gardiennage,255000
Mbour,Zone résidentielle,Appartement,94.2,5,4,True,piscine,535000
Mbour,Zone résidentielle,Studio,133.8,4,3,False,,420000
Saly,Saly Portudal,Studio,59.5,4,3,False,climatisation|piscine|groupe_electrogene,410000
Mbour,Grand Mbour,Appartement,76.4,3,1,False,groupe_electrogene,270000
Mbour,Grand Mbour,Maison,62.2,4,2,False,,235000
Dakar,Plateau,Appartement,145.7,6,4,False,climatisation,990000
Dakar,Plateau,Villa,217.5,8,7,False,climatisation|gardiennage,2220000
Saint-Louis,Sor,Appartement,51.9,2,1,True,climatisation,200000
Mbour,Grand Mbour,Maison,120.3,4,3,False,,370000
Dakar,Almadies,Appartement,154.8,6,5,False,parking|gardiennage,1460000
Thiès,Médina Fall,Maison,82.3,4,2,False,,230000
Saint-Louis,Île,Appartement,41.0,1,0,False,parking,195000
Dakar,Parcelles Assainies,Studio,164.8,6,4,True,gardiennage|groupe_electrogene,875000
Thiès,Grand Standing,Appartement,39.5,1,0,True,parking,180000
Saly,Saly centre,Villa,188.8,8,6,False,climatisation|groupe_electrogene,1310000
Saint-Louis,Sor,Maison,61.5,3,2,False,piscine,270000
Dakar,Parcelles Assainies,Studio,36.1,1,0,False,climatisation,180000
Mbour,Grand Mbour,Studio,71.1,2,1,False,,205000
Dakar,Yoff,Villa,90.4,4,2,False,parking|groupe_electrogene,860000
Mbour,Grand Mbour,Appartement,100.3,5,3,False,groupe_electrogene,350000
Dakar,Almadies,Appartement,125.4,5,3,False,parking|piscine,1030000
Saint-Louis,Hydrobase,Appartement,105.0,3,1,False,climatisation|parking,315000
Dakar,Yoff,Appartement,208.6,7,6,True,,1480000
Dakar,Plateau,Maison,88.2,2,1,False,,720000
Saly,Saly centre,Villa,107.8,4,3,False,piscine|groupe_electrogene,780000
Dakar,Mermoz,Villa,103.3,5,4,False,parking|gardiennage,1130000
Dakar,Almadies,Maison,33.5,1,0,False,climatisation,355000
Dakar,Mermoz,Maison,46.5,1,0,False,,360000
Mbour,Grand Mbour,Studio,94.4,3,1,False,parking,250000
Mbour,Mbour centre,Villa,114.5,4,3,False,,640000
Saly,Saly centre,Appartement,25.7,1,0,True,parking|gardiennage|piscine,275000
Dakar,Yoff,Maison,213.4,8,7,False,gardiennage|piscine,1405000
Thiès,Randoulène,Studio,119.2,5,3,False,,405000
Dakar,Almadies,Appartement,91.7,2,0,False,,690000
Saint-Louis,Sor,Appartement,116.4,5,3,False,parking|gardiennage|groupe_electrogene,365000
Saly,Saly centre,Villa,69.0,2,1,True,parking,485000
Mbour,Mbour centre,Villa,100.9,4,3,False,parking|piscine,615000
Saint-Louis,Île,Villa,109.1,3,2,False,climatisation|gardiennage|groupe_electrogene,585000
Dakar,Almadies,Studio,165.8,6,4,False,,1190000
Saly,Niakh Niakhal,Appartement,84.1,3,2,False,piscine,380000
Thiès,Médina Fall,Appartement,40.1,2,1,True,groupe_electrogene,170000
Dakar,Non renseigne,Maison,56.5,1,0,True,gardiennage|piscine|groupe_electrogene,745000
Dakar,Yoff,Maison,80.6,3,2,True,,655000
Dakar,Almadies,Maison,42.8,1,0,True,groupe_electrogene,440000
Dakar,Parcelles Assainies,Maison,53.1,2,0,False,,240000
Dakar,Plateau,Appartement,56.8,3,1,False,parking|groupe_electrogene,510000
Thiès,Randoulène,Studio,77.8,4,3,False,climatisation|parking,275000
Saint-Louis,Île,Appartement,118.4,4,3,False,climatisation|gardiennage,500000
Dakar,Mermoz,Appartement,75.8,3,1,False,gardiennage,530000
Thiès,Médina Fall,Appartement,122.4,5,3,True,climatisation|gardiennage,370000
Saly,Saly Portudal,Appartement,91.8,2,0,False,parking|groupe_electrogene,445000
Mbour,Zone résidentielle,Studio,54.1,2,0,False,climatisation|gardiennage,230000
Thiès,Médina Fall,Appartement,110.1,5,4,False,parking|piscine,330000
Dakar,Yoff,Appartement,101.5,3,2,False,climatisation|parking|gardiennage|piscine,700000
Saly,Saly Portudal,Studio,124.0,3,2,False,,505000
Dakar,Plateau,Maison,136.9,6,5,False,climatisation,1085000
Dakar,Mermoz,Appartement,168.4,5,4,True,parking|gardiennage|groupe_electrogene,1545000
Saly,Niakh Niakhal,Appartement,120.4,4,3,True,,450000
Thiès,Randoulène,Appartement,99.8,4,2,True,parking,375000
Mbour,Mbour centre,Maison,124.3,5,3,False,groupe_electrogene,445000
Saint-Louis,Hydrobase,Appartement,71.9,2,0,False,climatisation|groupe_electrogene,235000
Saint-Louis,Hydrobase,Appartement,69.0,2,1,False,,200000
Dakar,Almadies,Appartement,179.8,7,6,False,climatisation|groupe_electrogene,1385000
Dakar,Parcelles Assainies,Maison,68.0,3,1,False,groupe_electrogene,410000
Dakar,Plateau,Appartement,57.6,4,2,False,climatisation,495000
Dakar,Plateau,Studio,120.3,3,1,False,groupe_electrogene,790000
Saly,Niakh Niakhal,Appartement,72.2,3,1,False,parking|groupe_electrogene,285000
Dakar,Yoff,Maison,136.2,4,3,True,gardiennage|groupe_electrogene,860000
Saint-Louis,Non renseigne,Appartement,162.2,7,5,True,climatisation|parking|gardiennage,660000
Mbour,Zone résidentielle,Appartement,62.0,1,0,False,groupe_electrogene,255000
Mbour,Grand Mbour,Appartement,127.6,4,3,False,gardiennage,335000
Thiès,Randoulène,Studio,67.1,2,0,False,,175000
Thiès,Grand Standing,Villa,81.5,3,2,False,parking|gardiennage|groupe_electrogene,495000
Saly,Saly centre,Appartement,107.5,4,3,False,parking,420000
Saint-Louis,Hydrobase,Appartement,69.1,3,2,False,climatisation|parking,230000
Mbour,Mbour centre,Villa,102.7,4,3,True,parking|gardiennage,730000
Saly,Non renseigne,Maison,85.0,2,1,True,climatisation|gardiennage|groupe_electrogene,495000
Mbour,Mbour centre,Appartement,137.7,6,5,False,climatisation,515000
Dakar,Almadies,Appartement,137.9,5,4,False,,960000
Saint-Louis,Île,Maison,69.3,3,1,True,groupe_electrogene,405000
Dakar,Almadies,Studio,108.8,3,2,True,,815000
Saint-Louis,Hydrobase,Maison,148.2,4,2,True,climatisation,610000
Saly,Saly centre,Villa,52.6,2,1,True,piscine,515000
Thiès,Randoulène,Maison,84.8,4,2,True,,285000
Thiès,Médina Fall,Appartement,106.4,4,3,True,,310000
Dakar,Mermoz,Appartement,51.3,2,1,False,groupe_electrogene,430000
Saly,Saly Portudal,Appartement,73.7,2,1,False,,430000
Dakar,Parcelles Assainies,Appartement,197.9,8,6,False,,965000
Dakar,Non renseigne,Appartement,67.9,2,0,False,gardiennage|piscine,480000
Dakar,Plateau,Appartement,71.9,2,0,False,piscine|groupe_electrogene,640000
Dakar,Parcelles Assainies,Maison,36.1,2,0,False,climatisation,250000
Thiès,Randoulène,Appartement,119.7,3,1,False,,325000
Thiès,Médina Fall,Appartement,47.9,3,2,False,,170000
Dakar,Parcelles Assainies,Maison,85.7,4,3,True,climatisation|gardiennage,505000
Dakar,Plateau,Maison,57.9,3,1,False,,500000
Dakar,Yoff,Studio,102.6,4,2,False,parking|piscine,510000
Dakar,Almadies,Studio,18.0,1,0,False,piscine,250000
Dakar,Mermoz,Maison,95.5,3,1,True,groupe_electrogene,880000
Saint-Louis,Île,Appartement,107.9,4,2,False,climatisation,365000
Dakar,Mermoz,Appartement,74.7,2,1,False,gardiennage|piscine,685000
Dakar,Almadies,Maison,77.2,3,1,False,piscine|groupe_electrogene,665000
Dakar,Almadies,Appartement,69.9,3,1,True,gardiennage,725000
Thiès,Randoulène,Appartement,85.1,4,3,False,,270000
Dakar,Parcelles Assainies,Appartement,180.9,7,5,False,,795000
Dakar,Yoff,Appartement,139.8,6,4,True,parking|gardiennage,995000
Saly,Saly centre,Appartement,85.1,3,1,False,gardiennage,335000
Dakar,Non renseigne,Appartement,73.7,2,0,False,parking|piscine|groupe_electrogene,640000
Thiès,Grand Standing,Studio,133.4,5,3,False,climatisation,410000
Thiès,Grand Standing,Villa,99.3,3,1,True,climatisation,665000
Dakar,Almadies,Appartement,50.6,2,0,False,piscine|groupe_electrogene,490000
Thiès,Médina Fall,Villa,80.1,2,1,False,parking,305000
Mbour,Zone résidentielle,Appartement,171.5,5,4,True,climatisation|gardiennage,900000
Mbour,Mbour centre,Villa,117.3,5,4,True,,750000
Dakar,Parcelles Assainies,Villa,74.2,3,2,True,parking|gardiennage,695000
Dakar,Yoff,Appartement,38.5,1,0,False,piscine,295000
Dakar,Parcelles Assainies,Studio,102.3,4,2,False,climatisation|piscine,450000
Thiès,Grand Standing,Villa,92.0,3,2,False,,475000
Saint-Louis,Île,Villa,83.8,3,2,True,parking|piscine|groupe_electrogene,750000
Dakar,Mermoz,Villa,134.1,6,4,False,parking,1350000
Dakar,Plateau,Maison,118.1,5,4,True,climatisation|gardiennage,1000000
Saly,Saly Portudal,Appartement,39.3,2,0,False,piscine,330000
Dakar,Plateau,Studio,92.3,5,4,False,groupe_electrogene,635000
Thiès,Randoulène,Maison,45.0,1,0,False,climatisation,175000
Mbour,Grand Mbour,Maison,70.5,2,1,False,climatisation|piscine|groupe_electrogene,330000
Dakar,Yoff,Appartement,43.1,1,0,False,climatisation,335000
Dakar,Almadies,Maison,44.0,1,0,True,parking|gardiennage,495000
Dakar,Plateau,Appartement,108.6,2,1,True,climatisation|groupe_electrogene,910000
Saly,Saly Portudal,Studio,103.3,4,3,False,climatisation,455000
